Order Id,Customer Id,Customer Name,Product Id,Product Name,Product Category,Payment Type,Quantity ordered,Price,Date and time when order was placed,Customer Country,Customer City,Site from where order was placed,Payment Transaction Confirmation Id,Payment Success or Failure,Reason for payment failure
69559e0a-9a1b-46c0-98cc-b9762f72ffb1,123e4567-e89b-12d3-a456-426614174000,Christian Espinoza,123e4567-e89b-12d3-a456-426614174000,Widget E,Furniture,Credit Card,5,731.28,2023-11-01 00:56:52.300374,USA,New Jamestown,Website B,123e4567-e89b-12d3-a456-426614174000,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174001,e41b76c7-1717-44ff-b4f2-aea0ccf26148,Alexis Flores,123e4567-e89b-12d3-a456-426614174001,Widget E,Clothing,Credit Card,2,560.7,2024-07-29 00:56:52.300374,USA,Crawfordborough,Website B,123e4567-e89b-12d3-a456-426614174001,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Stephen Norris,585f60b3-d940-4923-acd4-d1e652dd2e0b,Widget A,Furniture,Credit Card,1,31.75,2023-11-07 00:56:52.300374,UK,East John,Website B,123e4567-e89b-12d3-a456-426614174002,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Karen Johnson,123e4567-e89b-12d3-a456-426614174003,Widget B,Electronics,PayPal,5,173.41,2024-05-14 00:56:52.300374,France,Washingtonview,Website B,123e4567-e89b-12d3-a456-426614174003,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Jason Jackson,123e4567-e89b-12d3-a456-426614174004,Widget A,Furniture,PayPal,0,909.41,2023-10-06 00:56:52.300374,Germany,Tracytown,Website C,123e4567-e89b-12d3-a456-426614174004,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Robert Wall,123e4567-e89b-12d3-a456-426614174005,Widget C,Furniture,Gift Card,1,624.63,2024-06-13 00:56:52.300374,UK,Longburgh,Website C,123e4567-e89b-12d3-a456-426614174005,N,Card Expired
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Mark Cooper,123e4567-e89b-12d3-a456-426614174006,Widget A,Books,PayPal,1,983.6,2024-06-21 00:56:52.300374,France,North Darrellshire,Website C,123e4567-e89b-12d3-a456-426614174006,N,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Phillip Rivera,123e4567-e89b-12d3-a456-426614174007,Widget D,Electronics,Credit Card,3,971.75,2024-07-11 00:56:52.300374,UK,Bakerberg,Website C,c2271474-fb4e-44ec-90f4-24dcc0a68aa2,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Robert Morris,123e4567-e89b-12d3-a456-426614174008,Widget C,Electronics,Credit Card,5,253.17,2023-10-07 00:56:52.300374,USA,Angelamouth,Website A,123e4567-e89b-12d3-a456-426614174008,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Mr. Benjamin Williams,123e4567-e89b-12d3-a456-426614174009,Widget A,Books,Credit Card,4,429.99,2023-12-25 00:56:52.300374,UK,Port Aprilbury,Website A,123e4567-e89b-12d3-a456-426614174009,N,No Reason Provided
69559e0a-9a1b-46c0-98cc-b9762f72ffb1,123e4567-e89b-12d3-a456-426614174000,Stephanie Baker,123e4567-e89b-12d3-a456-426614174000,Widget D,Furniture,Bank Transfer,3,500.43,2024-02-16 00:56:52.300374,USA,Bartonshire,Website A,123e4567-e89b-12d3-a456-426614174000,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174001,e41b76c7-1717-44ff-b4f2-aea0ccf26148,Dr. Sarah Cooper,123e4567-e89b-12d3-a456-426614174001,Widget A,Furniture,Bank Transfer,3,880.85,2023-10-06 00:56:52.300374,UK,Angelamouth,Website B,123e4567-e89b-12d3-a456-426614174001,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Julie Watson,585f60b3-d940-4923-acd4-d1e652dd2e0b,Widget E,Toys,PayPal,4,185.09,2024-03-28 00:56:52.300374,Germany,Bryanmouth,Website A,123e4567-e89b-12d3-a456-426614174002,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,David Hughes,123e4567-e89b-12d3-a456-426614174003,Widget C,Electronics,PayPal,3,97.48,2024-04-01 00:56:52.300374,USA,Lewismouth,Website C,123e4567-e89b-12d3-a456-426614174003,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,John Williams,123e4567-e89b-12d3-a456-426614174004,Widget E,Electronics,Bank Transfer,0,420.88,2024-03-05 00:56:52.300374,Canada,South Thomasborough,Website C,123e4567-e89b-12d3-a456-426614174004,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Ronald Taylor,123e4567-e89b-12d3-a456-426614174005,Widget E,Furniture,PayPal,2,624.63,2024-03-16 00:56:52.300374,France,North Dustin,Website B,123e4567-e89b-12d3-a456-426614174005,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Rickey Johnston,123e4567-e89b-12d3-a456-426614174006,Widget C,Toys,Bank Transfer,5,426.14,2023-09-19 00:56:52.300374,UK,Wardburgh,Website C,123e4567-e89b-12d3-a456-426614174006,N,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Jason Zimmerman,123e4567-e89b-12d3-a456-426614174007,Widget C,Electronics,Bank Transfer,5,762.81,2024-01-04 00:56:52.300374,UK,East Allisonshire,Website C,c2271474-fb4e-44ec-90f4-24dcc0a68aa2,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Deborah Wilson,123e4567-e89b-12d3-a456-426614174008,Widget C,Toys,PayPal,1,867.0,2024-04-21 00:56:52.300374,USA,Hooperchester,Website A,123e4567-e89b-12d3-a456-426614174008,Y,Card Expired
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Gary Mathis,123e4567-e89b-12d3-a456-426614174009,Widget B,Books,Bank Transfer,4,470.87,2024-01-31 00:56:52.300374,UK,West Michael,Website B,123e4567-e89b-12d3-a456-426614174009,Y,No Reason Provided
69559e0a-9a1b-46c0-98cc-b9762f72ffb1,123e4567-e89b-12d3-a456-426614174000,Kelly Meyer,123e4567-e89b-12d3-a456-426614174000,Widget B,Electronics,Bank Transfer,3,404.81,2023-09-28 00:56:52.300374,UK,Brownmouth,Website B,123e4567-e89b-12d3-a456-426614174000,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174001,e41b76c7-1717-44ff-b4f2-aea0ccf26148,Jessica Marquez,123e4567-e89b-12d3-a456-426614174001,Widget B,Toys,Credit Card,4,630.13,2024-03-03 00:56:52.300374,France,Port Alisonmouth,Website C,123e4567-e89b-12d3-a456-426614174001,Y,Card Expired
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Dr. Jordan Perez,585f60b3-d940-4923-acd4-d1e652dd2e0b,Widget E,Electronics,Credit Card,3,780.89,2024-05-10 00:56:52.300374,France,Shirleyhaven,Website C,123e4567-e89b-12d3-a456-426614174002,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Maria Flowers,123e4567-e89b-12d3-a456-426614174003,Widget E,Electronics,Credit Card,1,803.34,2023-11-13 00:56:52.300374,USA,Adrianfort,Website B,123e4567-e89b-12d3-a456-426614174003,N,Card Expired
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Jessica Mitchell,123e4567-e89b-12d3-a456-426614174004,Widget A,Clothing,Bank Transfer,0,813.53,2024-06-23 00:56:52.300374,Canada,Port Jessicabury,Website B,123e4567-e89b-12d3-a456-426614174004,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Kathy Lang,123e4567-e89b-12d3-a456-426614174005,Widget D,Electronics,PayPal,5,624.63,2023-10-19 00:56:52.300374,USA,Brennanside,Website C,123e4567-e89b-12d3-a456-426614174005,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Dr. Elizabeth Grimes,123e4567-e89b-12d3-a456-426614174006,Widget A,Clothing,PayPal,5,370.75,2024-04-07 00:56:52.300374,Germany,East Andrewland,Website A,123e4567-e89b-12d3-a456-426614174006,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Tina Webster,123e4567-e89b-12d3-a456-426614174007,Widget D,Electronics,Bank Transfer,3,546.89,2023-11-30 00:56:52.300374,France,North Angela,Website B,c2271474-fb4e-44ec-90f4-24dcc0a68aa2,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Deborah Coleman,123e4567-e89b-12d3-a456-426614174008,Widget B,Clothing,PayPal,2,994.58,2024-05-04 00:56:52.300374,France,Howardville,Website B,123e4567-e89b-12d3-a456-426614174008,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Brittany Preston,123e4567-e89b-12d3-a456-426614174009,Widget A,Clothing,PayPal,2,204.22,2024-05-02 00:56:52.300374,USA,New Robertbury,Website A,123e4567-e89b-12d3-a456-426614174009,N,Insufficient Funds
69559e0a-9a1b-46c0-98cc-b9762f72ffb1,123e4567-e89b-12d3-a456-426614174000,Tracy Clark,123e4567-e89b-12d3-a456-426614174000,Widget D,Toys,Credit Card,4,778.21,2024-01-08 00:56:52.300374,Canada,South John,Website B,123e4567-e89b-12d3-a456-426614174000,N,Insufficient Funds
123e4567-e89b-12d3-a456-426614174001,e41b76c7-1717-44ff-b4f2-aea0ccf26148,Brianna Ray,123e4567-e89b-12d3-a456-426614174001,Widget B,Furniture,PayPal,4,934.39,2024-04-25 00:56:52.300374,USA,Johnview,Website C,123e4567-e89b-12d3-a456-426614174001,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Angela Hale,585f60b3-d940-4923-acd4-d1e652dd2e0b,Widget C,Clothing,Gift Card,4,390.86,2024-04-26 00:56:52.300374,Germany,East Jennifer,Website C,123e4567-e89b-12d3-a456-426614174002,Y,Card Expired
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Curtis Barrera,123e4567-e89b-12d3-a456-426614174003,Widget B,Electronics,PayPal,1,904.04,2023-11-26 00:56:52.300374,Canada,Lake Robertberg,Website A,123e4567-e89b-12d3-a456-426614174003,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Joseph Davis,123e4567-e89b-12d3-a456-426614174004,Widget D,Furniture,PayPal,0,185.1,2024-02-02 00:56:52.300374,Canada,Ashleyville,Website B,123e4567-e89b-12d3-a456-426614174004,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Susan Jackson,123e4567-e89b-12d3-a456-426614174005,Widget B,Electronics,PayPal,4,624.63,2023-12-10 00:56:52.300374,France,West Nancyton,Website B,123e4567-e89b-12d3-a456-426614174005,Y,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Melissa Thomas,123e4567-e89b-12d3-a456-426614174006,Widget D,Electronics,PayPal,3,782.43,2024-05-27 00:56:52.300374,Germany,East Jake,Website C,123e4567-e89b-12d3-a456-426614174006,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Natalie Hoffman,123e4567-e89b-12d3-a456-426614174007,Widget A,Electronics,Credit Card,4,819.69,2023-10-15 00:56:52.300374,France,New Catherine,Website C,c2271474-fb4e-44ec-90f4-24dcc0a68aa2,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Alyssa White,123e4567-e89b-12d3-a456-426614174008,Widget D,Toys,Gift Card,1,937.98,2024-07-24 00:56:52.300374,UK,Jessicafort,Website B,123e4567-e89b-12d3-a456-426614174008,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Holly Hall,123e4567-e89b-12d3-a456-426614174009,Widget E,Books,Bank Transfer,5,298.11,2024-01-21 00:56:52.300374,Canada,New Heather,Website A,123e4567-e89b-12d3-a456-426614174009,N,Payment Gateway Error
