Order Id,Customer Id,Customer Name,Product Id,Product Name,Product Category,Payment Type,Quantity ordered,Price,Date and time when order was placed,Customer Country,Customer City,Site from where order was placed,Payment Transaction Confirmation Id,Payment Success or Failure,Reason for payment failure
3eb4d418-b4c9-4f5b-ad98-f5ddbac73f1e,32f98858-358c-4081-b374-5b0cdf8c784c,Peter Hammond,2d249d25-a856-445b-8b36-7dd2da61ffcd,Detergent,Sports,Internet Banking,1,261.47,2023-12-01 05:46:38,India,New Donnaberg,Shopify,f401b584-effb-4e00-9572-8e457a81334f,Y,
2ce3f592-972b-4cd0-b5e0-b3e24a2c06b9,c5427e44-5d5e-43c2-9434-836df4b51094,Mrs. Diana Wyatt MD,672ecae3-1d09-43db-9580-542c1b524843,Laundry Basket,Sports,Wallet,1,605.44,2024-02-20 05:02:06,Germany,South Saraville,eBay,eae88ba6-db3d-4173-b328-c12097c183f1,N,Payment gateway error
8731b2d6-b127-4080-a55a-9e54100c3291,9b912fe5-dd24-437f-b1a5-ba6a1a465e53,Benjamin Green,b72bbcb2-a215-4ea9-9da8-a214a1b66741,Tweezers,Electronics,Card,5,633.55,2020-12-04 03:54:17,UK,Lesterfurt,Amazon,f16f5597-eec8-40fb-b625-8117b6518a19,Y,
cb6e356e-353a-4330-ba86-f80af3f2ea0a,c3aff410-8a47-40c2-b01f-ccb74a7cc302,Bruce Thornton,583d0811-cecf-42e7-8bc2-9de9d1a06e54,Furniture Polish,Sports,Card,5,989.86,2021-07-03 10:54:25,UK,West Jamiefort,Shopify,6f47f85f-8e22-4d4f-983a-13ca415d3e5c,N,Insufficient funds
8133d1d9-7f8f-4353-8c85-837482563336,148938ac-66b3-4a56-8fbd-845ce4e49e29,Lindsay Long,ee362fb6-cad2-445f-8586-c493214b9b2d,Bread,Clothing,UPI,4,518.74,2022-10-30 20:16:03,Canada,Karenfurt,Amazon,f8f6caa6-97fb-4146-aa9d-716f37525f62,N,
7f0157f2-17e8-4d6f-bcc7-358c9d3b4ecf,bbfb4586-4d34-4d07-acac-f3fc5c59981b,Christopher Keller,37be0a03-c28a-49da-bdce-c667b202ae1f,Mop,Home & Kitchen,Card,4,616.49,2020-12-07 16:19:04,Canada,West Dawn,Shopify,54b9f42e-f381-4ca2-a12c-85e17cb83797,N,
e67e8b84-2cb4-46c1-87a7-e2b48c69a533,16d77d1c-b04e-40d2-bca6-35a81adc32d4,Rose Martin,f776b619-7068-4b2b-a7f7-cbdf82767a1e,Toilet Paper,Sports,Wallet,1,51.03,2022-02-26 16:31:01,USA,Mariashire,Amazon,82c49d52-7368-4bca-87dd-b134403659df,N,Card expired
626241ca-ef91-4683-881c-307b5f07ae80,4e691418-4bed-44b1-b158-d8cedb096c5b,Daniel Patterson,5d0c9afe-790a-4951-b3cf-ca4a465e0f20,Lotion,Books,UPI,5,250.0,2021-07-19 18:53:06,Canada,North Thomasside,Walmart,d89eceaf-7ffb-4b54-aa71-fa2bf081e0e4,N,
63e5644c-5208-4d78-893b-4ab6668a971a,42f7389f-0966-47c8-9afa-99b2436868a9,Richard Williamson,9f131bc5-1f7b-4acd-a2df-e37a8757630e,Toothpaste,Books,Internet Banking,5,847.8,2023-12-24 01:15:30,Canada,Madisonfurt,Walmart,e0658665-bec1-4b01-999f-94ccbd5bae5c,N,
e5f26f24-9e85-44db-93f3-ed196ac86f7d,18abf0ca-ec2f-4d1f-a60f-0ba0ab4c6b6a,Jennifer Long,f79448eb-de37-473a-9a12-c13a40ab9e46,Tea Bags,Clothing,Internet Banking,5,271.32,2021-01-09 02:46:08,India,Deborahberg,Flipkart,957e3d03-20e4-44bb-90ef-a2ca7f22f1ea,N,Insufficient funds
2785e7ce-31b6-4ce9-89d7-eedd3e1af8ca,2a9f004f-54b3-4ab0-9e2e-5f97edd543dd,Jo Harris,2b5bc6fc-d9d6-4432-bbf4-e56da3c680d8,Measuring Spoons,Sports,Card,2,36.78,2023-05-26 15:46:58,USA,Jimenezchester,Flipkart,c16d30b7-5edc-4432-81c8-ca54c43eef3a,Y,
400ba8c4-def8-4e93-a82a-1fb428b48081,021b3419-5216-48f6-89a1-7880023de4f0,Mrs. Robin Gonzalez MD,003bff57-7391-4b74-b18f-cca81f8d5c4d,Prescription Medications,Sports,Wallet,3,541.5,2024-03-21 04:13:44,Germany,Kathyfort,Flipkart,51d10085-f687-4c85-b0f7-a1cb9adf435d,Y,
aa65dd20-651f-4b03-b0bb-62e7934c6727,ee365d3d-049b-4f16-ab91-1ba8a7385aff,Ashley Fitzpatrick,351f56a1-f91e-473a-8b0d-8dacf9aee3f3,Nutritious Snacks,Books,Card,3,752.79,2024-07-07 13:43:55,Germany,Bishopside,Flipkart,41625a83-2b23-4879-8fab-3f9d02b7a514,N,
19c66624-8fbc-499c-b7a6-416f030c21b2,fa2dbe3d-181e-45dc-acdb-9952ec2111d2,Lisa Shaw,52420ebd-9213-444f-94d2-97e9c4e6179b,Canned Goods,Clothing,Card,5,309.01,2024-08-16 23:27:15,UK,Sheltonfurt,Shopify,474cef5d-1ac9-45af-bc48-5c25755ecab8,Y,
17c5e25f-c759-41ca-bed7-725fa2181237,05679c1d-1932-40ef-bb8a-151081decdf8,Cheryl Romero,92b4a3de-2441-479d-976b-bff7dc5f46e2,Dustpan,Home & Kitchen,Internet Banking,1,838.82,2021-01-03 20:51:31,USA,Williechester,Walmart,723418d9-e2fe-43d0-af66-d01cfa3b1c2d,Y,
ae98f5b2-45f8-44d2-a733-8cb10d9bebff,78c9f276-41de-47e1-9f33-767dd8303f2e,Ricky Wise,ed66351b-293e-4d0b-9e2e-0078ba9aefb0,Dog Bed,Books,Internet Banking,2,599.71,2024-01-15 23:40:55,India,Barbaraton,Flipkart,00e3fd66-1c53-4257-8945-d50f3d9af0d4,N,
4eba4163-347c-415f-a312-cc0d7b191b09,30493e79-d94e-4a5e-a365-a6c61f0f2708,Christian Carter,7b654888-ec4a-4938-8282-6998acf199a8,Hair Brush,Books,Card,2,282.64,2023-03-09 22:05:33,India,North Robertchester,Flipkart,f97d4113-bc84-491d-ab10-48c8fa764793,Y,
8d31e09b-7668-484a-ad4d-61e7adbffad6,a94ae016-fa18-41a9-9225-3284a4c4c4b0,Timothy Short,ea41cbb6-8f47-4bbb-b4d1-52a3995e46ee,Towel Hooks,Home & Kitchen,Internet Banking,4,224.86,2024-09-04 00:41:48,USA,Zunigastad,Shopify,8dd36006-672b-4f3c-87b4-dcaa501a5552,N,
3a7b726f-c314-4e2c-8fd2-e9155c9c0360,c35e27e8-5d56-4381-b4d0-1f3495c0846b,Wayne Tran,6ff056f4-be8c-456c-99ea-6251d52a590a,Dish Soap,Home & Kitchen,UPI,2,402.48,2023-08-08 23:06:16,India,Jonesmouth,Flipkart,a9a8529f-94cc-4723-821d-29de54027a0d,N,
718fc970-8a07-4a27-a2c5-2969a6d53449,cb64bd76-6b7f-48bf-bd33-5d94d01fcd95,Ryan Davis,81e1f069-2f7e-48a1-8f22-c65c5c8e5517,Fabric Freshener,Home & Kitchen,UPI,2,343.91,2022-04-21 12:07:40,India,Brittanyberg,Flipkart,57f9064f-929c-41b9-bbbb-0068d9f3a58c,Y,
1aa911f1-9b20-41f2-be3d-f644ae8503a2,e831bba5-39d7-42a6-bcf7-7c3079dd2729,Debra Brown,a618cfc7-c68d-4f8b-8d5e-d296bfc64c55,Rice Cooker,Electronics,Wallet,5,849.02,2020-09-23 09:42:51,India,Cindyhaven,Walmart,e6f4f27a-fe05-49b5-a5fd-570249331f65,N,
f21a853a-02d1-4e7e-92a1-356466be1a52,11b6ed51-6794-407b-9973-d214314a898a,Tony Larson,be71fa2f-1104-4537-890b-5c4fb4a526c4,Protein Powder,Sports,Card,2,581.19,2023-12-01 04:24:07,USA,Alexisside,Walmart,358829c4-13e3-4a3b-b5fe-27097a7043b4,Y,
939b8201-add9-4bf7-aaba-f925860972fc,7ae4aa03-fca4-46e9-b805-c1ac8ac6a59b,Mark Little,1bd1e820-5638-4626-8c52-eb46e5e51daf,Nail Clippers,Electronics,UPI,2,200.85,2020-03-21 15:59:55,India,Brittanybury,Flipkart,7c3951ae-462f-4987-b8e5-d851b7cd2e8d,Y,
c10d5f3c-5f0f-443b-9f1d-c222f92be863,3b005d4a-4beb-4653-b9ee-21b8b8a8ad6f,Kelly Thomas,e78282f8-6a57-4fae-8fef-542e842e8339,Metal Polish,Electronics,Card,1,712.39,2020-05-11 16:07:34,UK,West Kim,Amazon,46da9dd9-d3eb-4064-a09a-159fa1c7dcc3,Y,
c23aaf80-6345-4b39-9118-5af48d8287cf,3146016b-dfad-4b79-99ed-435aa8fa4c35,Teresa West,ec341a85-a62f-4378-83fa-4aadd94effb4,Oven Mitts,Clothing,Wallet,4,892.34,2020-10-12 19:55:15,Canada,Aguilarside,Amazon,b02b1b71-51d9-4660-a217-14909df22479,Y,
df67360a-f139-4a39-bf2b-56a987ec4d8f,0e709cf1-0c29-4413-ad75-7b638de087da,Grant Houston,fbd619ae-a091-47f4-872b-f1db6bb7f602,Tablecloth,Home & Kitchen,Card,4,406.85,2020-12-07 22:46:39,India,Meyerton,Shopify,34481352-4241-4944-9d06-e3ee8cf4b70b,Y,
58ae9bd1-a392-4c7d-9712-7da359a86ae8,a67bb855-9f38-4b9f-8f79-3d258b9fac5c,Gregory Davis,b10a6ba4-3541-4dc1-94f0-3a29a16e9e3f,Coffee,Books,Card,2,401.69,2020-06-06 05:31:29,India,East Darryl,Flipkart,4175e494-7cb7-41d2-a0dc-7f5c8b092617,N,
42cd591a-5ae5-4688-b46f-c96e03256aa0,9cf90794-c34e-4284-b297-84d2401b7dd1,Christopher Mora,34ee6d08-5dd7-4249-9eea-ac2540901297,Blender,Clothing,Internet Banking,1,893.35,2021-06-20 18:33:13,Canada,North Caseyshire,Walmart,c270cf29-56e8-4f2b-8152-7c8c03a31b55,N,Card expired
afb9e0d1-ceb1-4e6c-b221-3467ba8201c0,1f99385b-00ae-49fc-ab85-20db08ed1981,Samantha Mcdonald,8551478a-a2d6-4a14-a6e3-e6f5eb3fbda8,Tea Bags,Sports,Card,2,94.93,2023-05-16 08:59:40,India,North John,Shopify,8d2540ab-32da-4ced-8b14-a5b9ac3620d1,N,
