Order Id,Customer Id,Customer Name,Product Id,Product Name,Product Category,Payment Type,Quantity ordered,Price,Date and time when order was placed,Customer Country,Customer City,Site from where order was placed,Payment Transaction Confirmation Id,Payment Success or Failure,Reason for payment failure
InvalidUUID,123e4567-e89b-12d3-a456-426614174000,Customer_0,123e4567-e89b-12d3-a456-426614174000,Widget E,Furniture,Credit Card,5,731.28,2023-11-01 00:56:52.300374,USA,City_0,Website B,123e4567-e89b-12d3-a456-426614174000,Y,
123e4567-e89b-12d3-a456-426614174001,InvalidCustomerId,Customer_1,123e4567-e89b-12d3-a456-426614174001,Widget E,Clothing,Credit Card,2,560.7,2024-07-29 00:56:52.300374,USA,City_1,Website B,123e4567-e89b-12d3-a456-426614174001,Y,
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Customer_2,InvalidProductId,Widget A,Furniture,Credit Card,1,31.75,2023-11-07 00:56:52.300374,UK,City_2,Website B,123e4567-e89b-12d3-a456-426614174002,N,
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Customer_3,123e4567-e89b-12d3-a456-426614174003,Widget B,InvalidCategory,PayPal,5,173.41,2024-05-14 00:56:52.300374,France,City_3,Website B,123e4567-e89b-12d3-a456-426614174003,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Customer_4,123e4567-e89b-12d3-a456-426614174004,Widget A,Furniture,PayPal,-1,909.41,2023-10-06 00:56:52.300374,Germany,City_4,Website C,123e4567-e89b-12d3-a456-426614174004,Y,
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Customer_5,123e4567-e89b-12d3-a456-426614174005,Widget C,Furniture,Gift Card,1,InvalidPrice,2024-06-13 00:56:52.300374,UK,City_5,Website C,123e4567-e89b-12d3-a456-426614174005,N,Card Expired
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Customer_6,123e4567-e89b-12d3-a456-426614174006,Widget A,Books,PayPal,1,983.6,2024-06-21 00:56:52.300374,France,InvalidCity,Website C,123e4567-e89b-12d3-a456-426614174006,N,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Customer_7,123e4567-e89b-12d3-a456-426614174007,Widget D,Electronics,Credit Card,3,971.75,2024-07-11 00:56:52.300374,UK,City_7,Website C,InvalidUUID,N,
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Customer_8,123e4567-e89b-12d3-a456-426614174008,Widget C,Electronics,Credit Card,5,253.17,2023-10-07 00:56:52.300374,USA,City_8,Website A,123e4567-e89b-12d3-a456-426614174008,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Customer_9,123e4567-e89b-12d3-a456-426614174009,Widget A,Books,Credit Card,4,429.99,2023-12-25 00:56:52.300374,UK,City_9,Website A,123e4567-e89b-12d3-a456-426614174009,N,
