Order Id,Customer Id,Customer Name,Product Id,Product Name,Product Category,Payment Type,Quantity ordered,Price,Date and time when order was placed,Customer Country,Customer City,Site from where order was placed,Payment Transaction Confirmation Id,Payment Success or Failure,Reason for payment failure
c0bde330-0229-41d9-8586-8358d44fdb16,123e4567-e89b-12d3-a456-426614174000,Shawn Zhang,123e4567-e89b-12d3-a456-426614174000,Widget E,Furniture,Credit Card,5,731.28,2023-11-01 00:56:52.300374,USA,Ethanchester,Website B,123e4567-e89b-12d3-a456-426614174000,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174001,24cbca72-4b5c-45cb-8b80-0a534deebbf4,Susan Mcdonald,123e4567-e89b-12d3-a456-426614174001,Widget E,Clothing,Credit Card,2,560.7,2024-07-29 00:56:52.300374,USA,Mosesfurt,Website B,123e4567-e89b-12d3-a456-426614174001,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Tyler Porter,abafb5f4-35d6-48ed-8b7d-d4cace84449f,Widget A,Furniture,Credit Card,1,31.75,2023-11-07 00:56:52.300374,UK,Brownbury,Website B,123e4567-e89b-12d3-a456-426614174002,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Kenneth Mendoza,123e4567-e89b-12d3-a456-426614174003,Widget B,Clothing,PayPal,5,173.41,2024-05-14 00:56:52.300374,France,Lake Aprilburgh,Website B,123e4567-e89b-12d3-a456-426614174003,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Michael Taylor,123e4567-e89b-12d3-a456-426614174004,Widget A,Furniture,PayPal,1,909.41,2023-10-06 00:56:52.300374,Germany,Laurenstad,Website C,123e4567-e89b-12d3-a456-426614174004,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Jordan Thomas,123e4567-e89b-12d3-a456-426614174005,Widget C,Furniture,Gift Card,1,507.27,2024-06-13 00:56:52.300374,UK,Lake Samantha,Website C,123e4567-e89b-12d3-a456-426614174005,N,Card Expired
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Douglas Donaldson,123e4567-e89b-12d3-a456-426614174006,Widget A,Books,PayPal,1,983.6,2024-06-21 00:56:52.300374,France,Kennethton,Website C,123e4567-e89b-12d3-a456-426614174006,N,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Connor Anderson,123e4567-e89b-12d3-a456-426614174007,Widget D,Electronics,Credit Card,3,971.75,2024-07-11 00:56:52.300374,UK,Port Vernontown,Website C,cafedf78-35b9-42b4-908b-8e634e79f068,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Tammy Vazquez,123e4567-e89b-12d3-a456-426614174008,Widget C,Electronics,Credit Card,5,253.17,2023-10-07 00:56:52.300374,USA,Joseview,Website A,123e4567-e89b-12d3-a456-426614174008,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Brian Robinson,123e4567-e89b-12d3-a456-426614174009,Widget A,Books,Credit Card,4,429.99,2023-12-25 00:56:52.300374,UK,North Austinstad,Website A,123e4567-e89b-12d3-a456-426614174009,N,No Reason Provided
